Time	Channel A	Channel B
(us)	(V)	(mV)

129.29999250	0.00000000	-12.53076000
129.49999249	0.00000000	-13.44119000
129.69999248	0.00000000	-14.26550000
129.89999246	0.00000000	-15.12057000
130.09999245	0.00000000	-15.48351000
130.29999244	0.00000000	-15.07136000
130.49999243	0.00000000	-13.85334000
130.69999242	0.00000000	-12.62918000
130.89999241	0.00000000	-12.11860000
131.09999239	0.00000000	-11.65723000
131.29999238	0.00000000	-10.90059000
131.49999237	0.00000000	-10.94980000
131.69999236	0.00000000	-12.11860000
131.89999235	0.00000000	-13.39198000
132.09999233	0.00000000	-14.21629000
132.29999232	0.00000000	-14.66535000
132.49999231	0.00000000	-14.26550000
132.69999230	0.00000000	-13.85334000
132.89999229	0.00000000	-13.39198000
133.09999227	0.00000000	-12.57997000
133.29999226	0.00000000	-12.16781000
133.49999225	0.00000000	-12.16781000
133.69999224	0.00000000	-12.57997000
133.89999223	0.00000000	-13.39198000
134.09999222	0.00000000	-13.80413000
134.29999220	0.00000000	-13.85334000
134.49999219	0.00000000	-13.75492000
134.69999218	0.00000000	-12.98597000
134.89999217	0.00000000	-11.76796000
135.09999216	0.00000000	-11.70645000
135.29999214	0.00000000	-11.65723000
135.49999213	-0.17531990	-11.30659000
135.69999212	0.00000000	-11.70645000
135.89999211	0.00000000	-12.11860000
136.09999210	0.00000000	-12.57997000
136.29999208	0.00000000	-13.44119000
136.49999207	0.00000000	-14.26550000
136.69999206	0.00000000	-15.07136000
136.89999205	0.00000000	-15.07136000
137.09999204	0.00000000	-14.31471000
137.29999203	0.00000000	-13.85334000
137.49999201	0.00000000	-13.39198000
137.69999200	0.00000000	-12.53076000
137.89999199	0.00000000	-11.70645000
138.09999198	0.00000000	-10.85138000
138.29999197	0.00000000	-10.43922000
138.49999195	0.00000000	-10.43922000
138.69999194	0.00000000	-10.90059000
138.89999193	0.00000000	-12.11860000
139.09999192	0.00000000	-13.39198000
139.29999191	0.00000000	-14.26550000
139.49999189	0.00000000	-15.12057000
139.69999188	0.00000000	-15.48351000
139.89999187	0.00000000	-15.12057000
140.09999186	0.00000000	-14.26550000
140.29999185	0.00000000	-13.44119000
140.49999184	0.00000000	-12.57997000
140.69999182	0.00000000	-12.11860000
